Sottostante,Ticker,RSS_URL
SAP SE,SAP.DE,https://feeds.finance.yahoo.com/rss/2.0/headline?s=SAP.DE&region=US&lang=en-US
SESA SpA,SES.MI,https://feeds.finance.yahoo.com/rss/2.0/headline?s=SES.MI&region=US&lang=en-US
STMicroelectronics,STM.MI,https://feeds.finance.yahoo.com/rss/2.0/headline?s=STM.MI&region=US&lang=en-US
Saipem,SPM.MI,https://feeds.finance.yahoo.com/rss/2.0/headline?s=SPM.MI&region=US&lang=en-US
Salvatore Ferragamo SpA,SFER.MI,https://feeds.finance.yahoo.com/rss/2.0/headline?s=SFER.MI&region=US&lang=en-US
Sanofi SA,SAN.PA,https://feeds.finance.yahoo.com/rss/2.0/headline?s=SAN.PA&region=US&lang=en-US
Shopify Inc,SHOP,https://feeds.finance.yahoo.com/rss/2.0/headline?s=SHOP&region=US&lang=en-US
Siemens Energy AG,ENR.DE,https://feeds.finance.yahoo.com/rss/2.0/headline?s=ENR.DE&region=US&lang=en-US
Snam,SRG.MI,https://feeds.finance.yahoo.com/rss/2.0/headline?s=SRG.MI&region=US&lang=en-US
Snowflake Inc,SNOW,https://feeds.finance.yahoo.com/rss/2.0/headline?s=SNOW&region=US&lang=en-US
Stellantis,STLAM.MI,https://feeds.finance.yahoo.com/rss/2.0/headline?s=STLAM.MI&region=US&lang=en-US
Strategy Inc,MSTR,https://feeds.finance.yahoo.com/rss/2.0/headline?s=MSTR&region=US&lang=en-US
Super Micro Computer,SMCI,https://feeds.finance.yahoo.com/rss/2.0/headline?s=SMCI&region=US&lang=en-US
TUI,TUI1.DE,https://feeds.finance.yahoo.com/rss/2.0/headline?s=TUI1.DE&region=US&lang=en-US
Taiwan Semiconductor Manufacturing Co Ltd,TSM,https://feeds.finance.yahoo.com/rss/2.0/headline?s=TSM&region=US&lang=en-US
Take-Two Interactive Software,TTWO,https://feeds.finance.yahoo.com/rss/2.0/headline?s=TTWO&region=US&lang=en-US
Telecom Italia,TIT.MI,https://feeds.finance.yahoo.com/rss/2.0/headline?s=TIT.MI&region=US&lang=en-US
Tenaris,TEN.MI,https://feeds.finance.yahoo.com/rss/2.0/headline?s=TEN.MI&region=US&lang=en-US
Terna,TRN.MI,https://feeds.finance.yahoo.com/rss/2.0/headline?s=TRN.MI&region=US&lang=en-US
Tesla,TSLA,https://feeds.finance.yahoo.com/rss/2.0/headline?s=TSLA&region=US&lang=en-US
Thales,HO.PA,https://feeds.finance.yahoo.com/rss/2.0/headline?s=HO.PA&region=US&lang=en-US
Total,TTE.PA,https://feeds.finance.yahoo.com/rss/2.0/headline?s=TTE.PA&region=US&lang=en-US
Uber Technologies Inc,UBER,https://feeds.finance.yahoo.com/rss/2.0/headline?s=UBER&region=US&lang=en-US
Unicredit,UCG.MI,https://feeds.finance.yahoo.com/rss/2.0/headline?s=UCG.MI&region=US&lang=en-US
Unipol Assicurazioni SpA,UNI.MI,https://feeds.finance.yahoo.com/rss/2.0/headline?s=UNI.MI&region=US&lang=en-US
UnitedHealth Group Inc,UNH,https://feeds.finance.yahoo.com/rss/2.0/headline?s=UNH&region=US&lang=en-US
Vertiv Holdings Co,VRT,https://feeds.finance.yahoo.com/rss/2.0/headline?s=VRT&region=US&lang=en-US
Visa Inc.,V,https://feeds.finance.yahoo.com/rss/2.0/headline?s=V&region=US&lang=en-US
Volkswagen,VOW3.DE,https://feeds.finance.yahoo.com/rss/2.0/headline?s=VOW3.DE&region=US&lang=en-US
Walmart Inc,WMT,https://feeds.finance.yahoo.com/rss/2.0/headline?s=WMT&region=US&lang=en-US
Walt Disney Co,DIS,https://feeds.finance.yahoo.com/rss/2.0/headline?s=DIS&region=US&lang=en-US
Waste Management Inc,WM,https://feeds.finance.yahoo.com/rss/2.0/headline?s=WM&region=US&lang=en-US
Wells Fargo & Co,WFC,https://feeds.finance.yahoo.com/rss/2.0/headline?s=WFC&region=US&lang=en-US
